"","voted","sex","age","unit","weight","race","educ"
"123",1,1,"(0,29]",0,6857.8057,2,1
"124",NA,1,"(0,29]",0,4677.9742,2,2
"125",1,0,"(59,69]",0,3527.8981,1,2
"126",1,1,"(59,69]",0,2936.5848,1,2
"127",0,0,"(59,69]",0,3173.6941,1,0
"128",0,1,"(39,49]",0,4245.2668,4,0
"129",1,1,"(69,79]",0,3746.5043,4,0
"130",1,0,"(69,79]",0,3237.6091,4,0
"131",1,1,"(0,29]",0,4205.3739,1,2
"132",1,1,"(0,29]",0,4205.3739,1,1
"133",1,1,"(29,39]",0,2680.1004,1,2
"134",1,1,"(49,59]",0,3489.3821,2,2
"135",1,1,"(0,29]",0,6802.3062,2,1
"136",1,0,"(0,29]",0,6642.6435,2,2
"137",NA,0,NA,0,2851.3469,NA,2
"138",NA,1,NA,0,2619.3428,NA,2
"139",1,1,"(39,49]",0,4553.469,2,0
"140",1,0,"(49,59]",0,3229.8297,1,2
"141",1,0,"(49,59]",0,3229.8297,1,2
"142",1,1,"(29,39]",0,2680.1004,1,1
"143",1,1,"(69,79]",0,3247.3093,2,0
"144",1,1,"(69,79]",0,3018.9654,1,2
"145",NA,1,NA,0,3565.1179,NA,2
"146",NA,1,NA,0,3949.714,4,0
"147",0,0,"(69,79]",0,3324.7309,2,0
"148",1,1,"(39,49]",0,4370.9831,2,1
"149",0,1,"(0,29]",0,5103.0824,2,1
"150",1,1,"(49,59]",0,4160.8827,2,2
"151",1,1,"(0,29]",0,6802.3062,2,2
"152",1,0,"(69,79]",0,3526.4201,1,2
"153",1,1,"(69,79]",0,3335.0505,1,2
"154",NA,0,"(59,69]",0,3527.8981,1,2
"155",NA,0,"(59,69]",0,3261.6258,NA,NA
"156",NA,1,NA,0,3378.4614,1,2
"157",0,0,"(0,29]",0,2883.0291,3,0
"158",1,0,"(59,69]",0,3173.6941,1,1
"159",1,1,"(29,39]",0,3085.1029,1,1
"160",0,1,"(0,29]",0,5007.0662,1,0
"161",0,1,"(79,100]",0,3347.7031,1,0
"162",1,1,"(29,39]",0,2882.4879,1,2
"163",1,0,"(29,39]",0,4210.8541,1,2
"164",1,0,"(29,39]",0,4245.2102,1,1
"165",1,1,"(29,39]",0,2906.0059,1,2
"166",1,0,"(29,39]",0,2824.743,1,NA
"167",1,1,"(59,69]",0,2891.9815,1,2
"168",1,1,"(29,39]",0,2837.184,1,2
"169",1,0,"(29,39]",0,4280.3187,1,2
"170",1,1,"(49,59]",0,3507.417,1,1
"171",1,1,"(49,59]",0,3905.5286,2,0
"172",1,1,"(0,29]",0,5185.734,1,2
